Precio_real,Precio_predicho,Error_absoluto
148000,152834.9,4834.90625
404000,573005.1,169005.125
237000,224946.9,12053.09375
174000,150950.03,23049.96875
490000,303866.03,186133.96875
172000,154128.94,17871.0625
143000,143278.75,278.75
239000,194900.2,44099.796875
374000,358572.9,15427.09375
167000,151466.69,15533.3125
693000,593024.3,99975.6875
122000,146004.19,24004.1875
84000,131174.55,47174.546875
319000,248212.2,70787.796875
413000,258060.36,154939.640625
137000,160897.34,23897.34375
278000,149360.12,128639.875
327000,306667.4,20332.59375
492000,320543.0,171457.0
378000,347626.88,30373.125
709000,600275.3,108724.6875
209000,176239.1,32760.90625
741000,547678.0,193322.0
184000,162277.11,21722.890625
391000,403269.62,12269.625
137000,235109.55,98109.546875
691000,443119.75,247880.25
183000,162144.25,20855.75
151000,171367.38,20367.375
389000,265199.5,123800.5
1013000,862332.1,150667.875
493000,371142.66,121857.34375
182000,119347.555,62652.4453125
182000,185064.95,3064.953125
719000,709050.75,9949.25
268000,233624.58,34375.421875
358000,332902.2,25097.8125
215000,213053.56,1946.4375
166000,146709.88,19290.125
404000,276725.06,127274.9375
151000,154913.94,3913.9375
746000,603442.44,142557.5625
193000,166342.31,26657.6875
326000,251712.7,74287.296875
588000,444187.12,143812.875
147000,150244.16,3244.15625
567000,414446.5,152553.5
106000,137093.72,31093.71875
125000,125124.84,124.84375
569000,357955.1,211044.90625
180000,120821.85,59178.1484375
401000,314429.4,86570.59375
104000,126944.06,22944.0625
712000,470801.22,241198.78125
265000,159696.84,105303.15625
97000,155393.62,58393.625
213000,290866.88,77866.875
525000,402485.28,122514.71875
311000,300004.66,10995.34375
518000,426361.72,91638.28125
92000,134264.16,42264.15625
171000,167566.31,3433.6875
1149000,658859.4,490140.625
276000,225213.56,50786.4375
271000,278020.0,7020.0
200000,187175.44,12824.5625
211000,212711.89,1711.890625
134000,179818.6,45818.59375
127000,141857.38,14857.375
86000,135161.03,49161.03125
419000,353644.88,65355.125
610000,407452.34,202547.65625
163000,176364.69,13364.6875
247000,215365.81,31634.1875
408000,261133.31,146866.6875
455000,510930.16,55930.15625
134000,156797.98,22797.984375
280000,200701.84,79298.15625
130000,121037.13,8962.8671875
332000,272193.94,59806.0625
235000,217854.97,17145.03125
269000,231222.06,37777.9375
136000,154667.69,18667.6875
157000,167604.78,10604.78125
166000,201144.38,35144.375
235000,177154.23,57845.765625
128000,140006.34,12006.34375
241000,240986.2,13.796875
156000,188639.39,32639.390625
128000,138221.14,10221.140625
101000,160829.25,59829.25
190000,170574.08,19425.921875
152000,148090.81,3909.1875
1256000,886051.9,369948.125
117000,133432.14,16432.140625
414000,275061.12,138938.875
234000,188820.84,45179.15625
239000,187638.12,51361.875
181000,217990.55,36990.546875
681000,506390.62,174609.375
303000,286489.5,16510.5
420000,335707.38,84292.625
158000,240981.4,82981.40625
137000,197035.34,60035.34375
609000,408792.72,200207.28125
1213000,729128.4,483871.625
487000,403699.9,83300.09375
493000,427426.44,65573.5625
294000,210528.73,83471.265625
504000,432194.88,71805.125
194000,146300.86,47699.140625
508000,387319.38,120680.625
249000,236868.67,12131.328125
182000,144106.12,37893.875
151000,200861.27,49861.265625
114000,166424.53,52424.53125
328000,334897.4,6897.40625
367000,202095.33,164904.671875
252000,215229.78,36770.21875
185000,156584.34,28415.65625
546000,516477.03,29522.96875
585000,385437.28,199562.71875
182000,149845.03,32154.96875
455000,317023.6,137976.40625
336000,229771.56,106228.4375
177000,214664.86,37664.859375
195000,288699.72,93699.71875
141000,164154.31,23154.3125
190000,140245.94,49754.0625
498000,216935.06,281064.9375
227000,211666.38,15333.625
626000,516004.9,109995.09375
379000,363770.7,15229.3125
